reporting_organisation,donor,project_status,governorate,district,sub_district,community,neighbourhood,camp_name,admin1pcode,admin2pcode,admin3pcode,admin4pcode,neighbourhood_pcode,admin5pcode,location_other,village_camps,latitude_y,longitude_x,cluster,response_type,families,female_headed_hh,beneficiaries,men_18_60,women_18_60,boys_18,girls_18,elderly_males_60,elderly_females_60,idps,host_communities,returnees,pwds,previously_assisted,newly_assisted,conditionality,restrictions,cash_delivery_mechanism,voucher_delivery_mechanism,currency,transfer_value,transfer_frequency,num_payments,fx_rate,total_value_per_hh,total_usd,targeting_criteria,start_date,end_date,comments,contact_person,position,email,phone,month_of_activity,abbreviation,implementing_partner,activity,transfer_value_usd
NA,SCI,Completed,Aleppo,Afrin,Afrin,Afrin (Afrin),NA,NA,SY02,SY0203,SY020300,C1366,NA,NA,NA,NA,36.511094,36.865523,Multipurpose - Repeated,Earthquake,188,45,1056,201,238,300,262,28,27,NA,NA,NA,NA,No,Yes,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,200,Month,1,1,200,37600,Vulnerability-based,2023-08-01,2023-08-01,2 combined rounds of MPCA,Sima Kayali,Program Officer,skayali@ihsanrd.org,+90 533 355 54 33,31-07-2023,IhsanRD,Ihsan for Relief and Development (IRD),Multipurpose Cash Response,200
NA,SCI,Completed,Idleb,Harim,Dana,Deir Hassan - Darhashan,NA,Ebtieen/ عبطين,SY07,SY0703,SY070301,C4129,NA,CP000336,NA,NA,36.233725,36.762754,Multipurpose - One time,Earthquake,1,NA,3,1,1,0,1,0,0,NA,NA,NA,NA,No,Yes,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,150,Vulnerability-based,2023-07-11,2023-07-11,NA,Sima Kayali,Program Officer,skayali@ihsanrd.org,+90 533 355 54 33,31-07-2023,IhsanRD,Ihsan for Relief and Development (IRD),Multipurpose Cash Response,150
NA,SCI,Completed,Idleb,Harim,Dana,Deir Hassan - Darhashan,NA,Al Nahda/ النهضة,SY07,SY0703,SY070301,C4129,NA,CP000334,NA,NA,36.233725,36.762754,Multipurpose - One time,Earthquake,1,NA,3,0,1,1,0,1,0,NA,NA,NA,NA,No,Yes,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,150,Vulnerability-based,2023-07-11,2023-07-11,NA,Sima Kayali,Program Officer,skayali@ihsanrd.org,+90 533 355 54 33,31-07-2023,IhsanRD,Ihsan for Relief and Development (IRD),Multipurpose Cash Response,150
NA,SCI,Completed,Idleb,Harim,Dana,Qah (co),NA,Al Ahd Billah/ العهد بالله,SY07,SY0703,SY070301,C4131,NA,CP000265,NA,NA,36.296273,36.725165,Multipurpose - One time,Earthquake,2,NA,10,2,2,2,4,0,0,NA,NA,NA,NA,No,Yes,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,300,Vulnerability-based,2023-07-11,2023-07-11,NA,Sima Kayali,Program Officer,skayali@ihsanrd.org,+90 533 355 54 33,31-07-2023,IhsanRD,Ihsan for Relief and Development (IRD),Multipurpose Cash Response,150
NA,SCI,Completed,Idleb,Harim,Dana,Atma,NA,Al Ethar (New)/الإيثار,SY07,SY0703,SY070301,C4130,NA,CP000786,NA,NA,36.309771,36.689846,Multipurpose - One time,Earthquake,1,NA,9,1,1,0,5,1,1,NA,NA,NA,NA,No,Yes,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,150,Vulnerability-based,2023-07-11,2023-07-11,NA,Sima Kayali,Program Officer,skayali@ihsanrd.org,+90 533 355 54 33,31-07-2023,IhsanRD,Ihsan for Relief and Development (IRD),Multipurpose Cash Response,150
NA,SCI,Completed,Idleb,Idleb,Maaret Tamsrin,Kelly,NA,NA,SY07,SY0700,SY070005,C3949,NA,NA,NA,NA,36.108118,36.69463,Multipurpose - One time,Earthquake,1,NA,4,0,1,2,1,0,0,NA,NA,NA,NA,No,Yes,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,150,Vulnerability-based,2023-07-11,2023-07-11,NA,Sima Kayali,Program Officer,skayali@ihsanrd.org,+90 533 355 54 33,31-07-2023,IhsanRD,Ihsan for Relief and Development (IRD),Multipurpose Cash Response,150
NA,SCI,Completed,Idleb,Idleb,Maaret Tamsrin,Maaret Elekhwan,NA,Al Khalifa/ الخليفة,SY07,SY0700,SY070005,C3950,NA,CP001003,NA,NA,36.063862,36.674353,Multipurpose - One time,Earthquake,1,NA,7,1,1,3,2,0,0,NA,NA,NA,NA,No,Yes,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,150,Vulnerability-based,2023-07-25,2023-07-25,NA,Sima Kayali,Program Officer,skayali@ihsanrd.org,+90 533 355 54 33,31-07-2023,IhsanRD,Ihsan for Relief and Development (IRD),Multipurpose Cash Response,150
NA,SCI,Completed,Idleb,Idleb,Maaret Tamsrin,Haranbush,NA,NA,SY07,SY0700,SY070005,C3943,NA,NA,NA,NA,36.074335,36.638895,Multipurpose - One time,Earthquake,2,NA,11,2,2,5,2,0,0,NA,NA,NA,NA,No,Yes,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,300,Vulnerability-based,2023-07-25,2023-07-25,NA,Sima Kayali,Program Officer,skayali@ihsanrd.org,+90 533 355 54 33,31-07-2023,IhsanRD,Ihsan for Relief and Development (IRD),Multipurpose Cash Response,150
NA,SCI,Completed,Idleb,Idleb,Maaret Tamsrin,Shekh Bahr,NA,NA,SY07,SY0700,SY070005,C6631,NA,NA,NA,NA,36.050467,36.564705,Multipurpose - One time,Earthquake,1,NA,6,1,2,2,1,0,0,NA,NA,NA,NA,No,Yes,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,150,Vulnerability-based,2023-07-25,2023-07-25,NA,Sima Kayali,Program Officer,skayali@ihsanrd.org,+90 533 355 54 33,31-07-2023,IhsanRD,Ihsan for Relief and Development (IRD),Multipurpose Cash Response,150
NA,SCI,Completed,Idleb,Idleb,Maaret Tamsrin,Kafr Jales,NA,مخيم وطن النموذجي الثاني / WATAN second typical camp,SY07,SY0700,SY070005,C3945,NA,CP001955,NA,NA,35.975873,36.614218,Multipurpose - One time,Earthquake,1,NA,12,3,2,6,1,0,0,NA,NA,NA,NA,No,Yes,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,150,Vulnerability-based,2023-07-25,2023-07-25,NA,Sima Kayali,Program Officer,skayali@ihsanrd.org,+90 533 355 54 33,31-07-2023,IhsanRD,Ihsan for Relief and Development (IRD),Multipurpose Cash Response,150
NA,SCI,Completed,Idleb,Idleb,Maaret Tamsrin,Kelly,NA,Al Maasarah / المعصرة,SY07,SY0700,SY070005,C3949,NA,CP001169,NA,NA,36.108118,36.69463,Multipurpose - One time,Earthquake,1,NA,15,1,2,8,4,0,0,NA,NA,NA,NA,No,Yes,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,150,Vulnerability-based,2023-07-25,2023-07-25,NA,Sima Kayali,Program Officer,skayali@ihsanrd.org,+90 533 355 54 33,31-07-2023,IhsanRD,Ihsan for Relief and Development (IRD),Multipurpose Cash Response,150
NA,SCI,Completed,Idleb,Harim,Dana,Kafr Deryan,NA,أبو حبة / Abo Habba,SY07,SY0703,SY070301,C4132,NA,CP001402,NA,NA,36.174632,36.666375,Multipurpose - One time,Earthquake,1,NA,2,0,1,0,0,1,0,NA,NA,NA,NA,No,Yes,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,150,Vulnerability-based,2023-07-25,2023-07-25,NA,Sima Kayali,Program Officer,skayali@ihsanrd.org,+90 533 355 54 33,31-07-2023,IhsanRD,Ihsan for Relief and Development (IRD),Multipurpose Cash Response,150
NA,SCI,Completed,Idleb,Harim,Dana,Qah (co),NA,Al Nawaeer(Qah)/ النواعير(قاح),SY07,SY0703,SY070301,C4131,NA,CP000155,NA,NA,36.296273,36.725165,Multipurpose - One time,Earthquake,1,NA,6,1,1,3,0,1,0,NA,NA,NA,NA,No,Yes,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,150,Vulnerability-based,2023-07-26,2023-07-26,NA,Sima Kayali,Program Officer,skayali@ihsanrd.org,+90 533 355 54 33,31-07-2023,IhsanRD,Ihsan for Relief and Development (IRD),Multipurpose Cash Response,150
NA,SCI,Completed,Idleb,Harim,Dana,Atma,NA,Al Reef Alshemali(homs) / الريف الشمالي (حمص),SY07,SY0703,SY070301,C4130,NA,CP001437,NA,NA,36.309771,36.689846,Multipurpose - One time,Earthquake,1,NA,6,1,1,3,1,0,0,NA,NA,NA,NA,No,Yes,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,150,Vulnerability-based,2023-07-26,2023-07-26,NA,Sima Kayali,Program Officer,skayali@ihsanrd.org,+90 533 355 54 33,31-07-2023,IhsanRD,Ihsan for Relief and Development (IRD),Multipurpose Cash Response,150
NA,SCI,Completed,Idleb,Harim,Dana,Atma,NA,Atfalona Tonashedokom/أطفالنا تناشدكم,SY07,SY0703,SY070301,C4130,NA,CP000766,NA,NA,36.309771,36.689846,Multipurpose - One time,Earthquake,1,NA,7,1,2,4,0,0,0,NA,NA,NA,NA,No,Yes,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,150,Vulnerability-based,2023-07-26,2023-07-26,NA,Sima Kayali,Program Officer,skayali@ihsanrd.org,+90 533 355 54 33,31-07-2023,IhsanRD,Ihsan for Relief and Development (IRD),Multipurpose Cash Response,150
NA,SCI,Completed,Idleb,Harim,Dana,Mashhad Ruhin,NA,Al Hadaba Al Khadra/ الهضبة الخضراء,SY07,SY0703,SY070301,C6692,NA,CP000443,NA,NA,36.269416,36.744321,Multipurpose - One time,Earthquake,1,NA,6,1,1,3,1,0,0,NA,NA,NA,NA,No,Yes,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,150,Vulnerability-based,2023-07-26,2023-07-26,NA,Sima Kayali,Program Officer,skayali@ihsanrd.org,+90 533 355 54 33,31-07-2023,IhsanRD,Ihsan for Relief and Development (IRD),Multipurpose Cash Response,150
NA,SCI,Completed,Idleb,Harim,Dana,Sarmada,NA,Ghetaa Al Rahma2 (Al Kamouneh)/  (غطاء الرحمة2 (الكمونة,SY07,SY0703,SY070301,C4121,NA,CP000445,NA,NA,36.186604,36.723929,Multipurpose - One time,Earthquake,1,NA,4,0,2,0,1,1,0,NA,NA,NA,NA,No,Yes,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,150,Vulnerability-based,2023-07-26,2023-07-26,NA,Sima Kayali,Program Officer,skayali@ihsanrd.org,+90 533 355 54 33,31-07-2023,IhsanRD,Ihsan for Relief and Development (IRD),Multipurpose Cash Response,150
NA,AFNS,Completed,Aleppo,Afrin,Jandairis,Jandairis,NA,NA,SY02,SY0203,SY020302,C1426,NA,NA,NA,NA,36.392488,36.689563,Multipurpose - Repeated,NA,390,177,1955,331,489,515,481,44,95,200,190,NA,277,No,Yes,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,100,Month,1,1,100,39000,Vulnerability-based,2023-08-29,2023-08-29,NA,Sima Kayali,Program Officer,skayali@ihsanrd.org,+90 533 355 54 33,31-08-2023,IhsanRD,Ihsan for Relief and Development (IRD),Multipurpose Cash Response,100
NA,SCI,Completed,Idleb,Idleb,Maaret Tamsrin,Kelly,NA,Jabal Kelly / جبل كللي,SY07,SY0700,SY070005,C3949,NA,CP001163,NA,NA,36.108118,36.69463,Multipurpose - One time,NA,2,0,7,2,1,2,2,NA,NA,NA,NA,NA,NA,No,Yes,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,300,Vulnerability-based,2023-02-08,2023-02-08,NA,Sima Kayali,Program Officer,skayali@ihsanrd.org,+90 533 355 54 33,31-08-2023,IhsanRD,Ihsan for Relief and Development (IRD),Multipurpose Cash Response,150
NA,SCI,Completed,Idleb,Idleb,Maaret Tamsrin,Kelly,NA,Tibat Alemam  / طيبة الامام,SY07,SY0700,SY070005,C3949,NA,CP000726,NA,NA,36.108118,36.69463,Multipurpose - One time,NA,1,0,9,5,2,1,1,NA,NA,NA,NA,NA,NA,No,Yes,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,150,Vulnerability-based,2023-02-08,2023-02-08,NA,Sima Kayali,Program Officer,skayali@ihsanrd.org,+90 533 355 54 33,31-08-2023,IhsanRD,Ihsan for Relief and Development (IRD),Multipurpose Cash Response,150
NA,SCI,Completed,Idleb,Harim,Dana,Sarmada,NA,Salah Aldin(Sarmada)/ صلاح الدين(سرمدا),SY07,SY0703,SY070301,C4121,NA,CP001640,NA,NA,36.186604,36.723929,Multipurpose - One time,NA,1,1,2,1,0,0,1,NA,NA,NA,NA,NA,NA,No,Yes,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,150,Vulnerability-based,2023-02-08,2023-02-08,NA,Sima Kayali,Program Officer,skayali@ihsanrd.org,+90 533 355 54 33,31-08-2023,IhsanRD,Ihsan for Relief and Development (IRD),Multipurpose Cash Response,150
NA,SCI,Completed,Idleb,Harim,Dana,Atma,NA,Shaza Al Hurriya/شذا الحرية,SY07,SY0703,SY070301,C4130,NA,CP000759,NA,NA,36.309771,36.689846,Multipurpose - One time,NA,1,0,5,3,0,1,1,NA,NA,NA,NA,NA,NA,No,Yes,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,150,Vulnerability-based,2023-02-08,2023-02-08,NA,Sima Kayali,Program Officer,skayali@ihsanrd.org,+90 533 355 54 33,31-08-2023,IhsanRD,Ihsan for Relief and Development (IRD),Multipurpose Cash Response,150
NA,SCI,Completed,Idleb,Harim,Dana,Deir Hassan - Darhashan,NA,Al Wdhehee/ الوضيحي,SY07,SY0703,SY070301,C4129,NA,CP000340,NA,NA,36.233725,36.762754,Multipurpose - One time,NA,1,0,5,1,2,1,1,NA,NA,NA,NA,NA,NA,No,Yes,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,150,Vulnerability-based,2023-03-08,2023-03-08,NA,Sima Kayali,Program Officer,skayali@ihsanrd.org,+90 533 355 54 33,31-08-2023,IhsanRD,Ihsan for Relief and Development (IRD),Multipurpose Cash Response,150
NA,SCI,Completed,Idleb,Harim,Dana,Deir Hassan - Darhashan,NA,Al Nour (Deir Hassan) /  (دير حسان) النور,SY07,SY0703,SY070301,C4129,NA,CP000437,NA,NA,36.233725,36.762754,Multipurpose - One time,NA,1,0,5,1,2,1,1,NA,NA,NA,NA,NA,NA,No,Yes,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,150,Vulnerability-based,2023-03-08,2023-03-08,NA,Sima Kayali,Program Officer,skayali@ihsanrd.org,+90 533 355 54 33,31-08-2023,IhsanRD,Ihsan for Relief and Development (IRD),Multipurpose Cash Response,150
NA,SCI,Completed,Idleb,Harim,Dana,Qah (co),NA,اهل الخير/Ahel Alkhier,SY07,SY0703,SY070301,C4131,NA,CP001188,NA,NA,36.296273,36.725165,Multipurpose - One time,NA,1,0,4,2,0,1,1,NA,NA,NA,NA,NA,NA,No,Yes,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,150,Vulnerability-based,2023-03-08,2023-03-08,NA,Sima Kayali,Program Officer,skayali@ihsanrd.org,+90 533 355 54 33,31-08-2023,IhsanRD,Ihsan for Relief and Development (IRD),Multipurpose Cash Response,150
NA,SCI,Completed,Idleb,Harim,Dana,Bab El Hawa,NA,Ktyan / كتيان,SY07,SY0703,SY070301,C6389,NA,CP001362,NA,NA,36.230827,36.691964,Multipurpose - One time,NA,1,0,6,1,1,2,2,NA,NA,NA,NA,NA,NA,No,Yes,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,150,Vulnerability-based,2023-08-13,2023-08-13,NA,Sima Kayali,Program Officer,skayali@ihsanrd.org,+90 533 355 54 33,31-08-2023,IhsanRD,Ihsan for Relief and Development (IRD),Multipurpose Cash Response,150
NA,SCI,Completed,Idleb,Harim,Dana,Deir Hassan - Darhashan,NA,Nasaem Al Khayr/ نسائم الخير,SY07,SY0703,SY070301,C4129,NA,CP000276,NA,NA,36.233725,36.762754,Multipurpose - One time,NA,1,0,6,3,1,1,1,NA,NA,NA,NA,NA,NA,No,Yes,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,150,Vulnerability-based,2023-08-13,2023-08-13,NA,Sima Kayali,Program Officer,skayali@ihsanrd.org,+90 533 355 54 33,31-08-2023,IhsanRD,Ihsan for Relief and Development (IRD),Multipurpose Cash Response,150
NA,SCI,Completed,Idleb,Harim,Dana,Aqrabat (Dana),NA,تجمع جبل الزاوية / Tajmuoa Gabal Alzawya,SY07,SY0703,SY070301,C4127,NA,CP001357,NA,NA,36.269945,36.70786,Multipurpose - One time,NA,1,0,6,3,1,1,1,NA,NA,NA,NA,NA,NA,No,Yes,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,150,Vulnerability-based,2023-08-13,2023-08-13,NA,Sima Kayali,Program Officer,skayali@ihsanrd.org,+90 533 355 54 33,31-08-2023,IhsanRD,Ihsan for Relief and Development (IRD),Multipurpose Cash Response,150
NA,SCI,Completed,Idleb,Harim,Dana,Atma,NA,Al Eido/ العيدو,SY07,SY0703,SY070301,C4130,NA,CP000842,NA,NA,36.309771,36.689846,Multipurpose - One time,NA,1,0,7,3,2,1,1,NA,NA,NA,NA,NA,NA,No,Yes,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,150,Vulnerability-based,2023-08-13,2023-08-13,NA,Sima Kayali,Program Officer,skayali@ihsanrd.org,+90 533 355 54 33,31-08-2023,IhsanRD,Ihsan for Relief and Development (IRD),Multipurpose Cash Response,150
NA,SCI,Completed,Idleb,Harim,Dana,Atma,NA,Um Al Shohada/ام الشهداء,SY07,SY0703,SY070301,C4130,NA,CP000750,NA,NA,36.309771,36.689846,Multipurpose - One time,NA,1,0,10,2,6,1,1,NA,NA,NA,NA,NA,NA,No,Yes,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,150,Vulnerability-based,2023-08-14,2023-08-14,NA,Sima Kayali,Program Officer,skayali@ihsanrd.org,+90 533 355 54 33,31-08-2023,IhsanRD,Ihsan for Relief and Development (IRD),Multipurpose Cash Response,150
NA,SCI,Completed,Idleb,Harim,Dana,Mashhad Ruhin,NA,Al Hanan(Mashhad Ruhin)/ الحنان(مشهد روحين),SY07,SY0703,SY070301,C6692,NA,CP001992,NA,NA,36.269416,36.744321,Multipurpose - One time,NA,1,1,4,0,3,0,1,NA,NA,NA,NA,NA,NA,No,Yes,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,150,Vulnerability-based,2023-08-14,2023-08-14,NA,Sima Kayali,Program Officer,skayali@ihsanrd.org,+90 533 355 54 33,31-08-2023,IhsanRD,Ihsan for Relief and Development (IRD),Multipurpose Cash Response,150
NA,SCI,Completed,Idleb,Harim,Dana,Deir Hassan - Darhashan,NA,Al Jesat/ الجيسات,SY07,SY0703,SY070301,C4129,NA,CP000489,NA,NA,36.233725,36.762754,Multipurpose - One time,NA,1,0,5,0,0,2,3,NA,NA,NA,NA,NA,NA,No,Yes,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,150,Vulnerability-based,2023-08-14,2023-08-14,NA,Sima Kayali,Program Officer,skayali@ihsanrd.org,+90 533 355 54 33,31-08-2023,IhsanRD,Ihsan for Relief and Development (IRD),Multipurpose Cash Response,150
NA,SCI,Completed,Idleb,Harim,Dana,Atma,NA,Al Adham / الادهم,SY07,SY0703,SY070301,C4130,NA,CP001438,NA,NA,36.309771,36.689846,Multipurpose - One time,NA,1,0,9,2,5,1,1,NA,NA,NA,NA,NA,NA,No,Yes,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,150,Vulnerability-based,2023-08-14,2023-08-14,NA,Sima Kayali,Program Officer,skayali@ihsanrd.org,+90 533 355 54 33,31-08-2023,IhsanRD,Ihsan for Relief and Development (IRD),Multipurpose Cash Response,150
NA,AFNS,Completed,Aleppo,Afrin,Afrin,Afrin (Afrin),NA,NA,SY02,SY0203,SY020300,C1366,NA,NA,NA,NA,36.511094,36.865523,Multipurpose - Repeated,NA,710,196,4096,730,945,1105,1068,98,150,549,161,NA,710,No,Yes,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,100,Month,1,1,100,71000,Vulnerability-based,2023-09-19,2023-09-21,NA,Sima Kayali,Program Officer,skayali@ihsanrd.org,+90 533 355 54 34,30-09-2023,IhsanRD,Ihsan for Relief and Development (IRD),Multipurpose Cash Response,100
NA,AFNS,Completed,Aleppo,Afrin,Afrin,Afrin (Afrin),NA,NA,SY02,SY0203,SY020300,C1366,NA,NA,NA,NA,36.511094,36.865523,Multipurpose - One time,NA,756,213,4351,1140,1109,800,1021,117,164,589,167,NA,NA,No,Yes,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,100,Month,1,1,100,75600,Vulnerability-based,2023-10-01,2023-10-18,NA,Sima Kayali,Program Officer,skayali@ihsanrd.org,+90 533 355 54 34,31-10-2023,IhsanRD,Ihsan for Relief and Development (IRD),Multipurpose Cash Response,100
NA,AFNS,Completed,Aleppo,Afrin,Jandairis,Jandairis,NA,NA,SY02,SY0203,SY020302,C1426,NA,NA,NA,NA,36.392488,36.689563,Multipurpose - One time,NA,388,176,1944,513,477,345,487,43,94,200,188,NA,NA,No,Yes,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,100,Month,1,1,100,38800,Vulnerability-based,2023-10-15,2023-10-15,NA,Sima Kayali,Program Officer,skayali@ihsanrd.org,+90 533 355 54 34,31-10-2023,IhsanRD,Ihsan for Relief and Development (IRD),Multipurpose Cash Response,100
NA,SCI,Completed,Aleppo,Jebel Saman,Daret Azza,Daret Azza,NA,NA,SY02,SY0200,SY020004,C1139,NA,NA,NA,NA,36.285021,36.851091,Multipurpose - One time,NA,160,NA,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,24000,Other,2023-10-31,2023-10-31,NA,Sima Kayali,Program Officer,skayali@ihsanrd.org,+90 533 355 54 34,31-10-2023,IhsanRD,Ihsan for Relief and Development (IRD),Multipurpose Cash Response,150
NA,SCI,Completed,Idleb,Harim,Dana,Burdaqly,NA,Al Faterah/ الفطيرة,SY07,SY0703,SY070301,C6693,NA,CP001236,NA,NA,36.21333,36.73179,Multipurpose - One time,NA,108,NA,540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,16200,Vulnerability-based,2023-10-18,2023-10-18,NA,Sima Kayali,Program Officer,skayali@ihsanrd.org,+90 533 355 54 34,31-10-2023,IhsanRD,Ihsan for Relief and Development (IRD),Multipurpose Cash Response,150
NA,SCI,Completed,Idleb,Harim,Dana,Deir Hassan - Darhashan,NA,NA,SY07,SY0703,SY070301,C4129,NA,NA,Al Drighina,NA,36.233725,36.762754,Multipurpose - One time,NA,108,NA,540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,16200,Vulnerability-based,2023-10-19,2023-10-19,NA,Sima Kayali,Program Officer,skayali@ihsanrd.org,+90 533 355 54 34,31-10-2023,IhsanRD,Ihsan for Relief and Development (IRD),Multipurpose Cash Response,150
NA,AFNS,Completed,Aleppo,Afrin,Afrin,Afrin (Afrin),NA,NA,SY02,SY0203,SY020300,C1366,NA,NA,NA,NA,36.511094,36.865523,Multipurpose - One time,NA,734,205,4229,750,985,1140,1089,108,157,569,165,NA,NA,No,Yes,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,100,Month,1,1,100,73400,Vulnerability-based,2023-11-14,2023-11-15,NA,Mohamed Balsha,Senior Program Officer,mbalsha@ihsanrd.org,905511633983,30-11-2023,IhsanRD,Ihsan for Relief and Development (IRD),Multipurpose Cash Response,100
NA,AFNS,Completed,Aleppo,Afrin,Jandairis,Jandairis,NA,NA,SY02,SY0203,SY020302,C1426,NA,NA,NA,NA,36.392488,36.689563,Multipurpose - One time,NA,388,176,1944,513,477,345,487,43,94,200,188,NA,NA,No,Yes,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,100,Month,1,1,100,38800,Vulnerability-based,2023-11-16,2023-11-16,NA,Mohamed Balsha,Senior Program Officer,mbalsha@ihsanrd.org,905511633983,30-11-2023,IhsanRD,Ihsan for Relief and Development (IRD),Multipurpose Cash Response,100
NA,AFNS,Completed,Aleppo,Afrin,Afrin,Afrin (Afrin),NA,NA,SY02,SY0203,SY020300,C1366,NA,NA,NA,NA,36.511094,36.865523,Multipurpose - One time,NA,734,205,4229,750,985,1140,1089,108,157,569,165,NA,NA,No,Yes,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,100,Month,1,1,100,73400,Vulnerability-based,2023-12-14,2023-12-15,NA,Mohamed Balsha,Senior Program Officer,mbalsha@ihsanrd.org,905511633983,31-12-2023,IhsanRD,Ihsan for Relief and Development (IRD),Multipurpose Cash Response,100
NA,AFNS,Completed,Aleppo,Afrin,Jandairis,Jandairis,NA,NA,SY02,SY0203,SY020302,C1426,NA,NA,NA,NA,36.392488,36.689563,Multipurpose - One time,NA,388,176,1944,513,477,345,487,43,94,200,188,NA,NA,No,Yes,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,100,Month,1,1,100,38800,Vulnerability-based,2023-12-16,2023-12-16,NA,Mohamed Balsha,Senior Program Officer,mbalsha@ihsanrd.org,905511633983,31-12-2023,IhsanRD,Ihsan for Relief and Development (IRD),Multipurpose Cash Response,100
NA,ECOH,Completed,Idleb,Idleb,Maaret Tamsrin,Shekh Bahr,NA,NA,SY07,SY0700,SY070005,C6631,NA,NA,reception centers,village,36.050467,36.564705,Multipurpose - One time,Earthquake,220,157,1198,224,300,348,329,NA,NA,188,32,NA,50,No,NA,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,33000,Blanket,2023-02-10,2023-02-10,NA,Mohammad Hindawi,IM Officer,mohammad.hindawi@rescue.org,0,28-02-2023,IRC,International Rescue Committee (IRC),Multipurpose Cash Response,150
NA,ECOH,Completed,Idleb,Harim,Dana,Termanin,NA,NA,SY07,SY0703,SY070301,C4125,NA,NA,reception centers,village,36.228402,36.815206,Multipurpose - One time,Earthquake,165,70,944,180,185,294,285,NA,NA,163,2,NA,37,No,NA,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,24750,Blanket,2023-02-10,2023-02-10,NA,Mohammad Hindawi,IM Officer,mohammad.hindawi@rescue.org,0,28-02-2023,IRC,International Rescue Committee (IRC),Multipurpose Cash Response,150
NA,ECOH,Completed,Idleb,Harim,Dana,Dana (Dana),NA,NA,SY07,SY0703,SY070301,C4126,NA,NA,reception centers(marmarah),village,36.213601,36.76958,Multipurpose - One time,Earthquake,25,15,129,22,28,45,34,NA,NA,25,0,NA,2,No,NA,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,3750,Blanket,2023-02-10,2023-02-10,NA,Mohammad Hindawi,IM Officer,mohammad.hindawi@rescue.org,0,28-02-2023,IRC,International Rescue Committee (IRC),Multipurpose Cash Response,150
